Gene Symbol,BXD1,BXD100,BXD101,BXD102,BXD103,BXD11,BXD12,BXD14,BXD24,BXD27,BXD29,BXD31,BXD32,BXD34,BXD39,BXD40,BXD42,BXD43,BXD44,BXD45,BXD48,BXD49,BXD50,BXD56,BXD60,BXD62,BXD63,BXD65,BXD68,BXD69,BXD70,BXD71,BXD73,BXD75,BXD79,BXD80,BXD83,BXD84,BXD85,BXD87,BXD89,BXD90,BXD95,BXD97,BXD99
1700048O20Rik,9.17,9.261500000000002,9.410499999999999,8.845,9.581,8.812000000000001,9.685,9.437,9.024,9.331,9.186,9.715499999999999,9.468,9.322,8.976,9.405999999999999,10.143,9.193,9.055,9.626,9.908999999999999,9.406,9.377,9.7315,9.334,9.418,9.44,9.4855,9.321,9.2605,9.504999999999999,9.549,9.5105,9.0545,9.648,9.217500000000001,9.393,9.168,8.7395,9.2595,9.909500000000001,9.67,9.903,9.027000000000001,9.863
1700054O19Rik,10.404499999999999,10.4705,10.214,8.73,9.459,9.93,10.144,9.739,9.597,10.1985,10.2275,10.127500000000001,9.9265,9.964,10.481,9.676,9.933,8.806,9.4275,9.4405,9.9735,9.566,10.1365,9.9885,9.0155,9.497499999999999,10.111,9.751000000000001,10.006499999999999,8.563500000000001,10.2355,9.751999999999999,9.3735,9.8945,9.595,8.970500000000001,10.243,9.187,9.7375,9.9375,9.942499999999999,10.4665,9.8505,10.0495,10.1495
1700071K01Rik,10.043,10.262,9.7715,9.108,9.24,9.845500000000001,9.887,9.594,9.5,9.7375,10.0125,9.9335,9.653,9.929,10.286,9.589500000000001,9.567,8.948,9.2455,9.4215,9.874500000000001,9.177,9.772,9.836500000000001,9.190999999999999,9.4075,9.782,9.5485,9.908,8.8575,9.986,9.752500000000001,9.282,9.67,9.686,9.0685,9.9295,9.352,9.6235,9.5945,9.687999999999999,9.9175,9.7485,9.9575,9.966000000000001
4632427E13Rik,10.575,10.971,10.505500000000001,9.13,9.9405,10.4755,10.642,10.382,10.149,10.4865,10.5785,10.4985,10.607,10.6075,10.855,10.068,10.189,9.15,9.975,10.144,10.482,9.992,10.348500000000001,10.369,9.7315,10.001000000000001,10.449,10.233,10.6265,9.2605,10.6495,10.4825,9.9845,10.2235,10.303,9.5235,10.642,9.842,10.4015,10.3615,10.315000000000001,10.6555,10.4505,10.428999999999998,10.7605
9030025P20Rik,10.439499999999999,9.620000000000001,9.312999999999999,8.585,10.075,9.6235,10.327,9.463,10.069,9.4185,9.7695,10.106,10.292000000000002,10.4415,10.504,9.109,9.201,8.891,10.087,10.128499999999999,9.396,8.962,9.23,10.3325,9.956,10.142,10.353,9.266,10.2925,9.76,10.173,9.423,10.077,10.126999999999999,10.155,9.99,9.368,9.043,9.2545,10.1725,9.171500000000002,9.3475,9.3015,9.273499999999999,10.234
AF357355,10.6555,10.750499999999999,10.3605,9.172,9.8875,10.3855,10.449,10.355,10.139,10.189,10.448,10.344000000000001,10.344000000000001,10.66,10.638,9.724499999999999,10.194,9.067,10.0445,9.967500000000001,10.34,10.313,10.061,10.306999999999999,9.323,9.883,10.454,10.1455,10.409,9.0775,10.434999999999999,10.4905,9.5845,9.989,10.263,9.2515,10.6085,9.748,10.402000000000001,10.2015,10.337499999999999,10.335,10.4235,10.5075,10.447
Ackr1,9.654499999999999,9.037500000000001,9.248999999999999,9.223,10.050999999999998,9.2575,9.752,10.071,9.025,9.263,9.8055,9.8575,9.071,9.062999999999999,9.089,9.7415,9.792,9.019,9.363,9.941500000000001,9.017,9.976,9.241,9.879999999999999,9.269,8.888,9.792,9.7695,9.8015,9.297,9.7935,9.303,9.9515,9.233,9.871,9.695,9.3795,8.936,9.782,9.898,9.9165,9.7485,9.4335,9.8445,9.405000000000001
Adi1,9.625499999999999,9.681999999999999,10.280000000000001,10.565,10.0975,9.743500000000001,10.409,9.992,10.142,10.302,9.9435,9.8305,10.187000000000001,10.0815,9.926,10.199000000000002,10.838,10.407,10.65,10.693,9.812999999999999,10.368,10.2405,9.714500000000001,10.225999999999999,9.9635,9.669,9.954,9.8825,10.614,9.8275,9.966000000000001,10.0625,9.864,10.095,10.0185,10.009,10.299,10.5265,10.6665,10.439,9.7695,9.987,9.786000000000001,10.344999999999999
Alad,12.004,11.8565,11.859,11.723,11.693000000000001,10.797,10.842,11.08,12.095,10.7285,10.8475,10.718499999999999,11.016,10.774000000000001,10.697,11.0785,10.85,11.833,11.738,11.776,10.837499999999999,11.755,11.7835,11.9075,11.798,11.914000000000001,10.75,11.8315,11.782,11.786999999999999,11.78,11.775500000000001,11.783999999999999,11.722000000000001,10.897,11.916,11.879999999999999,12.271,11.859,10.783,11.836500000000001,11.9,11.8035,11.798,11.6435
Aldh1a1,9.318,10.131,9.975999999999999,10.179,10.249500000000001,9.6455,10.096,10.008,10.232,9.988,9.9805,9.962499999999999,10.091,10.096,9.674,10.166,10.382,10.739,9.6115,10.403,9.773499999999999,10.387,9.7535,9.734,10.264,10.332,9.406,10.027000000000001,9.641,10.2125,9.5565,10.2685,10.4915,9.8145,9.982,10.387,9.6135,10.2,9.391,9.873000000000001,10.1575,10.181999999999999,9.915500000000002,9.658,9.6295
B2m,11.828,11.868500000000001,11.7105,11.937,12.086500000000001,11.416,11.527,12.01,11.135,11.613,11.299,12.0215,11.714500000000001,11.763,12.265,10.997,11.994,11.959,12.1485,12.131499999999999,11.873999999999999,12.468,11.736,11.531,12.022,11.466,11.881,11.5825,12.0735,11.8015,12.024000000000001,12.054,12.044,11.3275,11.98,11.955,11.7365,11.257,12.193999999999999,12.219000000000001,12.2105,11.405999999999999,12.122499999999999,11.4195,11.462499999999999
C230004F18Rik,10.909,11.149999999999999,10.4845,9.563,10.266,10.556000000000001,10.784,10.603,10.27,10.557500000000001,10.836,10.5745,10.654,10.7875,10.834,10.254999999999999,10.326,9.658,10.035499999999999,10.198,10.559999999999999,10.116,10.388,10.6325,9.975999999999999,10.346499999999999,10.603,10.464,10.6495,9.543,10.679,10.5535,10.067499999999999,10.3715,10.542,9.995000000000001,10.835999999999999,10.271,10.591999999999999,10.3905,10.4115,10.8385,10.5285,10.57,10.691
