Gene Symbol,BXD1,BXD11,BXD12,BXD13,BXD14,BXD15,BXD16,BXD19,BXD2,BXD21,BXD23,BXD24,BXD28,BXD29,BXD31,BXD32,BXD33,BXD34,BXD36,BXD38,BXD39,BXD40,BXD42,BXD43,BXD44,BXD45,BXD48,BXD5,BXD51,BXD6,BXD60,BXD62,BXD69,BXD73,BXD77,BXD8,BXD85,BXD86,BXD9,BXD92
1500015L24Rik,2.3209999999999997,2.303,2.012,2.0035,1.626,1.892,1.054,1.4125,1.2245,2.302,1.8039999999999998,1.911,2.0095,1.3900000000000001,1.751,1.8395,1.8940000000000001,1.419,1.7690000000000001,2.2375,1.543,1.7970000000000002,2.402,2.4219999999999997,2.2815000000000003,1.68,1.5895,2.7110000000000003,1.6885,1.9015,2.2365000000000004,2.608,1.429,1.1025,1.8255,1.896,1.0425,1.204,1.6400000000000001,1.532
1600002H07Rik,0.99,1.913,1.2730000000000001,1.9975,2.0149999999999997,1.4535,1.916,1.7305,1.7385,1.4825,2.54,1.8330000000000002,1.072,1.057,1.2105000000000001,1.2145,0.9059999999999999,1.057,2.112,0.579,0.6535,1.8995,1.4889999999999999,1.742,1.141,1.729,1.7985,1.1295,1.841,0.935,2.164,1.5554999999999999,1.2,1.154,2.1079999999999997,1.787,2.0805,1.4325,2.2845,2.435
1700001C19Rik,1.899,2.166,1.9860000000000002,2.2215,1.261,1.962,2.7714999999999996,2.448,2.1965000000000003,2.2809999999999997,2.258,1.156,1.5365000000000002,2.332,2.0975,2.5335,2.33,2.582,2.121,1.762,2.2190000000000003,2.7039999999999997,2.3899999999999997,2.2249999999999996,2.3045,2.133,2.2195,1.9689999999999999,2.403,2.2104999999999997,2.0325,2.4459999999999997,2.6895,2.7065,2.2325,2.098,2.62,2.2845,1.5135,2.7640000000000002
1700007B13Rik,2.872,1.416,1.6015000000000001,2.9665,1.568,1.4075,1.3785,1.502,2.186,1.6335000000000002,2.2355,1.2025000000000001,1.213,2.5919999999999996,1.3815,2.868,1.3780000000000001,1.4985,1.5075,2.7955,2.8674999999999997,1.6695,2.6925,1.4249999999999998,1.4344999999999999,1.4865,3.2255000000000003,2.5460000000000003,2.508,1.2265000000000001,2.4015,2.4939999999999998,1.6059999999999999,0.9369999999999999,3.0300000000000002,2.061,2.643,2.9105,2.6144999999999996,2.7195
1700066C05Rik,0.053000000000000005,-0.15,-0.19349999999999998,0.044,-0.0785,-0.066,-0.1925,0.04,-0.1585,0.1875,3.1590000000000003,-0.1345,-0.031000000000000007,0.1255,-0.044,-0.028499999999999998,-0.15500000000000003,-0.155,-0.0335,0.0845,0.1925,-0.1115,0.13499999999999998,0.0005000000000000004,0.046,0.05900000000000001,0.1555,0.0695,0.07250000000000001,0.09799999999999999,-0.1065,0.2245,-0.011999999999999997,0.021500000000000005,-0.095,0.1015,-0.0955,0.0575,-0.033,0.031000000000000003
1700124K17Rik,0.3125,0.341,0.4155,0.388,0.17,0.38149999999999995,0.299,0.2705,0.15150000000000002,0.36150000000000004,2.8865,0.4685,0.322,0.21900000000000003,0.5345,0.39349999999999996,0.1765,0.3825,0.3195,0.2585,0.27949999999999997,0.366,0.1955,0.29200000000000004,0.5880000000000001,0.369,0.35600000000000004,0.3365,0.32,0.34650000000000003,0.6315,0.4485,0.09599999999999999,0.135,0.3075,0.416,0.3955,0.3705,0.428,0.29300000000000004
1810023F06Rik,2.3755,1.107,2.5895,2.436,2.6115,1.645,3.2085,1.818,2.0629999999999997,3.148,2.8325,2.1189999999999998,2.7935,2.5244999999999997,2.5055,2.5955,2.099,2.235,2.8385,2.5305,2.483,1.9285,3.0054999999999996,2.005,2.3689999999999998,2.3565,2.42,3.208,2.5365,2.141,2.8555,2.9805,1.9295,2.521,2.7395,2.213,2.308,2.226,2.146,2.224
1810055G02Rik,1.1320000000000001,1.415,1.246,1.0605,1.8525,1.034,1.38,0.453,0.796,1.939,1.1715,2.7744999999999997,1.9945,0.7475,1.756,1.1625,0.8684999999999999,1.8305000000000002,1.4535,1.7185000000000001,0.501,1.166,1.31,1.496,1.6645,0.458,1.337,2.048,1.067,0.6935,2.0025,2.294,1.332,1.755,0.997,0.676,1.4264999999999999,0.792,1.8079999999999998,1.341
2010003K11Rik,1.6035,1.713,0.9735,1.3035,3.0955,1.6285,1.738,1.0685,1.1215000000000002,2.775,1.891,4.192,2.7944999999999998,1.7865,1.282,1.793,0.9810000000000001,1.979,1.3555000000000001,1.9515,2.2714999999999996,1.1145,1.461,2.2485,2.4785,0.5935,2.521,2.6285,1.407,2.0355,2.7725,2.4299999999999997,1.6475,1.335,1.8815,1.1495,1.3535,1.3085,3.296,0.7115
2310039D24Rik,1.3784999999999998,1.438,0.692,1.6855,1.4035,1.2155,2.048,1.5145,1.212,0.9079999999999999,0.895,1.224,0.7995,1.063,1.2494999999999998,1.7925,2.017,1.905,1.4585,0.911,1.943,1.5615,1.6345,1.6185,1.2505000000000002,1.0425,1.2055,0.998,2.1775,1.3465,1.301,2.2865,2.513,2.1935000000000002,1.711,1.752,2.192,1.391,1.3395,2.286
2900064B16Rik,0.207,0.015,0.37,3.0664999999999996,0.555,0.478,0.602,0.5355,0.565,0.364,0.33099999999999996,0.5235,0.3275,0.3235,0.2485,0.479,0.391,0.653,0.6910000000000001,0.345,0.477,0.471,0.308,0.421,0.372,0.5795,0.726,0.392,0.48750000000000004,0.39049999999999996,0.39549999999999996,0.49450000000000005,0.5640000000000001,0.641,0.345,0.34099999999999997,0.534,0.563,0.46699999999999997,0.523
3110001K24Rik,1.7485,1.789,1.971,1.6655,2.502,1.4104999999999999,2.4885,2.319,1.935,1.552,3.1005000000000003,2.1845,1.5245,1.33,1.502,2.1385,1.5455,1.548,2.1415,1.009,1.996,1.813,1.685,1.188,0.768,1.9655,1.9375,1.462,2.1935000000000002,0.734,1.284,2.9005,2.232,2.3114999999999997,1.758,2.3305,2.225,2.2465,1.831,2.351
4921523A10Rik,-0.28150000000000003,-0.316,-0.021500000000000002,0.0585,0.209,-0.097,0.184,0.149,0.2325,-0.043,-0.0020000000000000018,-0.02800000000000001,-0.153,-0.1995,-0.189,0.036000000000000004,0.0030000000000000027,-0.29500000000000004,0.10400000000000001,-0.16199999999999998,0.014499999999999985,-0.116,3.2765,0.028999999999999998,0.197,0.155,0.016,-0.124,0.2785,0.0875,-0.0025,0.1695,0.24,0.2595,-0.2995,0.018500000000000003,0.03,0.265,0.258,0.1545
4930528F23Rik,2.2285,1.544,2.508,1.862,1.374,1.478,1.7495,1.6655,1.9060000000000001,2.4575,2.232,2.157,2.42,2.191,2.6795,2.6705,2.306,2.4530000000000003,2.4915000000000003,2.354,2.492,1.8800000000000001,2.2935,1.6840000000000002,2.7315,1.7365,1.8045,2.476,2.0385,2.5629999999999997,1.709,2.824,2.5780000000000003,2.798,1.9715,1.861,1.627,2.705,1.5505,1.645
4930569F06Rik,2.1685,2.806,2.3209999999999997,2.4285,1.6789999999999998,2.455,1.6275,1.689,1.702,2.3535,2.1255,2.566,2.5549999999999997,2.1365,2.1734999999999998,2.4375,1.8170000000000002,2.248,1.7035,2.5415,1.8195,2.2904999999999998,2.258,2.4930000000000003,2.4885,1.8090000000000002,2.028,2.2809999999999997,1.5675000000000001,2.634,2.484,2.1715,1.514,1.561,2.3875,2.3725,1.4645,1.6244999999999998,2.5534999999999997,1.703
4930581F22Rik,2.694,2.893,2.6995,2.6639999999999997,3.548,2.607,2.574,2.4015,2.565,2.8775,3.22,3.2365,3.7315,2.6825,3.539,2.8360000000000003,2.558,3.4195,2.201,2.4364999999999997,2.3685,2.794,2.4715,2.426,3.1944999999999997,2.775,2.705,2.6014999999999997,3.0075000000000003,2.9455,2.5495,3.5305,3.191,3.127,3.1025,1.9835,3.2714999999999996,3.0255,3.378,3.0225
4931408D14Rik,1.6084999999999998,2.027,1.178,0.702,1.5925,1.4994999999999998,1.245,0.9975,0.9845,0.8235,0.7655000000000001,0.1165,1.151,1.6285,1.6265,1.6495000000000002,1.3485,2.3215,1.384,2.0380000000000003,1.3555000000000001,1.627,1.8704999999999998,1.0635,1.422,0.928,1.674,0.9375,1.2795,1.965,1.704,1.8275000000000001,2.1605,2.5335,0.9155,0.9335,2.5170000000000003,1.138,1.2574999999999998,1.6975
5830443L24Rik,-0.4505,1.897,1.7975,-0.1715,0.37,-0.152,2.4995,-0.0855,2.858,2.5765000000000002,1.421,2.1915,-0.08399999999999999,2.5055,0.28,3.1025,2.871,0.11150000000000004,2.7775,2.2465,2.871,0.3175,0.03999999999999998,2.3935,2.34,0.15300000000000002,0.13949999999999999,2.4205,2.828,0.016,0.5680000000000001,3.863,0.3055,2.3455000000000004,0.2725,0.5814999999999999,2.5055,0.35050000000000003,-0.22349999999999998,-0.069
8430408G22Rik,2.7725,2.626,1.8250000000000002,2.232,1.0155,1.727,0.896,2.874,1.325,2.339,0.0985,1.0605,1.026,2.6879999999999997,1.2545,1.361,1.0985,2.3175,1.517,1.0485,2.6635,2.7184999999999997,2.3595,1.5425,1.9285,1.733,2.2955,2.278,1.801,0.9415,1.245,1.2315,1.459,1.5835,0.3875,1.561,1.2095,1.593,0.32099999999999995,1.336
9530039L23Rik,1.5975000000000001,2.834,1.045,2.232,0.9055,0.6955,1.286,1.6515,1.2365,1.6315,0.9814999999999999,1.704,1.062,1.3195000000000001,1.0995,1.4515,1.2069999999999999,0.8545,1.6149999999999998,1.51,0.8785000000000001,1.194,1.7570000000000001,0.8344999999999999,1.0985,1.1139999999999999,0.8075,-0.08650000000000002,-0.3275000000000001,1.198,0.839,-0.47899999999999987,0.41700000000000004,-0.6869999999999999,1.542,1.897,0.7630000000000001,1.1425,1.231,1.1224999999999998
9930111J21Rik,2.86,0.19,0.22699999999999998,0.1765,-0.07300000000000001,0.2135,-0.07500000000000001,-0.046,0.039,0.17149999999999999,0.191,0.075,0.2005,0.0895,0.14100000000000001,0.1845,-0.013499999999999998,0.3655,0.030499999999999985,0.1835,-0.0565,-0.0155,0.2055,-0.0315,0.0024999999999999883,0.14350000000000002,-0.04,0.22,-0.118,0.164,0.046,0.026500000000000003,0.008,0.054000000000000006,0.1475,-0.024,-0.076,-0.1125,0.189,-0.166
A430107O13Rik,0.1335,0.079,0.145,-0.0795,0.349,0.105,0.3125,0.33,0.4205,0.17500000000000002,0.043500000000000004,0.10800000000000001,0.2605,0.22749999999999998,0.1375,0.1915,0.236,0.22049999999999997,0.23500000000000001,0.17350000000000002,0.3035,0.235,0.1915,0.28550000000000003,0.125,0.2955,0.11900000000000001,0.1815,0.34099999999999997,0.1585,0.078,0.217,5.418,0.3385,0.109,0.17200000000000001,0.4445,0.378,0.126,0.26849999999999996
Abcc6,2.4815,2.996,1.4115,2.795,1.7590000000000001,2.584,2.4524999999999997,2.6435000000000004,1.5805,2.8810000000000002,1.7254999999999998,2.6705,1.4754999999999998,2.543,1.9155,1.9405000000000001,1.5325,2.915,2.4684999999999997,1.49,2.5170000000000003,3.0625,2.723,2.932,2.7725,2.339,1.8885,2.8705,2.516,2.4965,2.3945,3.1635,2.851,1.5939999999999999,2.4545000000000003,2.808,2.5380000000000003,1.759,2.6109999999999998,1.9929999999999999
Abcg5,2.7435,2.556,3.1865,2.4755000000000003,2.203,2.3695,2.7039999999999997,2.9285,1.743,2.0545,2.4275,1.4605000000000001,2.494,2.8715,3.1239999999999997,2.238,2.7119999999999997,3.202,2.255,2.5549999999999997,2.435,2.7835,2.3209999999999997,2.8680000000000003,3.156,2.3685,2.7415,2.943,2.9475,2.7439999999999998,2.58,3.0055,2.4805,3.066,2.2855,2.2315,2.9795,2.4764999999999997,2.574,2.8865
Acnat2,2.738,0.912,1.9100000000000001,2.1535,2.1535,1.4969999999999999,2.483,2.427,2.032,1.55,3.1205,2.042,1.1415,0.9829999999999999,1.695,2.2845,3.357,1.8905,2.013,1.2294999999999998,2.417,1.999,1.3255,1.598,1.54,2.449,1.328,1.559,1.8724999999999998,1.6515,2.0949999999999998,2.0465,2.1505,2.3805,1.9875,2.355,1.951,2.6915,2.5385,1.7885
Acot3,1.2265,0.73,0.44399999999999995,0.8624999999999999,0.9000000000000001,1.3785,0.517,0.619,0.44599999999999995,0.669,0.942,-0.079,0.939,0.7455,2.5015,1.0625,2.253,2.3775,1.7594999999999998,0.8180000000000001,1.7585,1.6955,1.0585,0.921,1.3165,0.9125000000000001,0.6184999999999999,0.9035000000000001,1.8455000000000001,1.7385000000000002,1.449,3.4105,1.6865,2.628,0.78,1.014,2.2645,1.1565,1.682,1.332
Adamts7,2.1414999999999997,1.556,2.4275,1.3384999999999998,1.175,1.599,2.3594999999999997,2.2714999999999996,1.7985,1.778,1.7954999999999999,0.257,0.5569999999999999,2.0404999999999998,1.6965,1.9609999999999999,0.9359999999999999,1.664,1.752,2.0975,2.2105,2.7,1.6155,1.7215,2.63,2.0435,2.02,1.3780000000000001,1.5585,2.101,1.654,1.875,2.7865,2.981,2.7649999999999997,2.1020000000000003,2.511,2.439,0.7819999999999999,2.831
Adh6-ps1,1.706,0.762,0.12299999999999997,0.4675,0.03700000000000003,1.6764999999999999,1.8075,0.4655,1.0635,0.903,1.3895,2.6785,-0.017500000000000016,1.5835,1.685,1.159,-0.435,0.02150000000000002,0.3665,0.244,1.8055,1.4255,1.379,0.5255000000000001,1.5965,1.9569999999999999,1.9344999999999999,0.9625000000000001,-0.03849999999999998,1.6320000000000001,1.527,1.4705,0.534,1.1925,2.3545,0.9864999999999999,1.938,2.0185,1.055,0.735
Agmat,2.3885,2.329,2.385,2.4530000000000003,1.7,2.4505,1.72,1.4929999999999999,1.7555,2.484,2.1,1.8104999999999998,2.266,2.2904999999999998,2.431,2.098,1.9735,2.3525,1.9344999999999999,2.2889999999999997,1.711,2.1275,2.4604999999999997,2.4695,2.21,1.9795,1.718,2.5115,1.6920000000000002,2.3064999999999998,2.386,2.1905,1.6059999999999999,1.6989999999999998,2.326,2.1235,1.597,1.6480000000000001,2.2495,1.7225000000000001
Agxt2l1,1.403,2.007,2.6180000000000003,1.7414999999999998,0.5435,1.831,1.8795000000000002,1.3255,1.2155,1.3860000000000001,0.4215,0.794,1.0775,1.6560000000000001,1.3944999999999999,2.004,1.342,1.5445,1.2679999999999998,1.8279999999999998,1.571,1.7745000000000002,1.1125,1.5275,1.2385000000000002,1.6585,1.5985,1.267,2.2555,1.654,1.2295,0.774,1.7544999999999997,1.229,1.3585,2.137,1.0455,1.524,1.0265,1.6195
Alad,2.7615,1.794,1.5705,2.9035,1.3115,2.9195,1.657,1.7005,1.445,1.6124999999999998,1.597,2.5915,1.4645000000000001,1.5225,1.7885,1.5590000000000002,1.7515,1.5795,2.4935,1.811,1.685,1.8255,1.76,3.1875,2.7375,2.847,1.5135,1.8485,2.6855,1.626,2.8085,3.2895000000000003,3.0755,2.7295,2.886,1.6465,2.8,1.7675,1.476,3.041
Alas1,1.6215,1.095,2.1745,2.1494999999999997,1.6435,1.004,0.4325,-0.175,0.49749999999999994,0.33449999999999996,1.7275,2.1205,2.3215,0.72,3.2845,1.1415,2.1790000000000003,2.657,1.3675000000000002,1.4485,0.3305,1.3685,1.0545,1.226,1.872,0.866,1.1205,0.9605,1.4245,1.572,2.5895,2.842,1.596,2.194,2.093,0.8425,1.7685000000000002,1.072,2.5214999999999996,1.0135
Aldh4a1,2.213,1.284,2.193,2.577,1.8515,2.5365,2.1925,1.2045,0.8275,2.3449999999999998,2.059,1.0825,2.2105,1.335,1.326,2.2729999999999997,2.3499999999999996,2.6995,2.1494999999999997,2.2575000000000003,1.083,1.3815,1.272,1.4465,1.2675,2.1235,0.8865000000000001,1.4655,1.1905000000000001,1.3290000000000002,1.117,1.4729999999999999,2.2585,1.3399999999999999,1.147,2.225,2.316,1.0535,1.3995,1.414
